repo_url,repo_name,owner,full_name,stars,size_kb,language,description,last_updated,frameworks,matched_patterns,api_url,has_openapi,has_swagger,has_validators,validator_libraries,has_typescript
https://github.com/hystax/optscale,optscale,hystax,hystax/optscale,1764,697707,Python,"FinOps and cloud cost optimization tool. Supports AWS, Azure, GCP, Alibaba Cloud and Kubernetes.",2025-11-11T21:37:20Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/hystax/optscale,False,False,False,,False
https://github.com/platformatic/platformatic,platformatic,platformatic,platformatic/platformatic,1734,35975,JavaScript,Platformatic Open Source monorepo!,2025-11-13T09:43:44Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/platformatic/platformatic,False,False,False,,False
https://github.com/brendandburns/designing-distributed-systems-labs,designing-distributed-systems-labs,brendandburns,brendandburns/designing-distributed-systems-labs,1303,11138,JavaScript,Labs for the Designing Distributed Systems book.,2025-11-09T20:55:39Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/brendandburns/designing-distributed-systems-labs,False,False,False,,False
https://github.com/ealeksandrov/NodeAPI,NodeAPI,ealeksandrov,ealeksandrov/NodeAPI,764,653,JavaScript,Simple RESTful API implementation on Node.js + MongoDB.,2025-07-11T23:23:38Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/ealeksandrov/NodeAPI,False,False,False,,False
https://github.com/agnt-gg/slop,slop,agnt-gg,agnt-gg/slop,519,572,HTML,The place for SLOP,2025-11-04T03:42:37Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/agnt-gg/slop,False,False,False,,False
https://github.com/juxtopposed/stacksorted,stacksorted,juxtopposed,juxtopposed/stacksorted,302,358406,JavaScript,Find Inspiration in Design Elements.,2025-11-12T07:37:26Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/juxtopposed/stacksorted,False,False,False,,False
https://github.com/tannerkrewson/drawphone,drawphone,tannerkrewson,tannerkrewson/drawphone,285,4082,JavaScript,"Draw what you see, and guess what your friends drew",2025-11-04T02:45:00Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/tannerkrewson/drawphone,False,False,False,,False
https://github.com/dub-flow/secure-code-review-challenges,secure-code-review-challenges,dub-flow,dub-flow/secure-code-review-challenges,254,135,JavaScript,This repo contains the code for my secure code review challenges. People used this as the primary resource to pass FAANG AppSec interviews 😉,2025-11-13T09:15:45Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/dub-flow/secure-code-review-challenges,False,False,False,,False
https://github.com/PacktPublishing/React-and-React-Native-4th-Edition,React-and-React-Native-4th-Edition,PacktPublishing,PacktPublishing/React-and-React-Native-4th-Edition,104,14568,JavaScript,"React and React Native (4th Edition), published by Packt",2025-10-18T04:01:36Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/PacktPublishing/React-and-React-Native-4th-Edition,False,False,False,,False
https://github.com/accimeesterlin/nodemailer-examples,nodemailer-examples,accimeesterlin,accimeesterlin/nodemailer-examples,98,899,JavaScript,Nodemailer examples,2025-04-01T23:38:51Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/accimeesterlin/nodemailer-examples,False,False,False,,False
https://github.com/mssrinivas/LinkedIn-Clone,LinkedIn-Clone,mssrinivas,mssrinivas/LinkedIn-Clone,76,27677,JavaScript,"Developed user profile, connections, job listing and application modules using MERN Stack and Kafka. Implemented Redis for data caching, containerized the application services and hosted on AWS. Implemented MongoDB replication and tested the performance on JMeter and Mocha.",2025-10-04T16:39:35Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/mssrinivas/LinkedIn-Clone,False,False,False,,False
https://github.com/zwhu/blog,blog,zwhu,zwhu/blog,66,267,JavaScript,嘛，写 blog 也要遵守基本法。,2023-12-07T08:08:05Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/zwhu/blog,False,False,False,,False
https://github.com/amahdy/java-pwa,java-pwa,amahdy,amahdy/java-pwa,50,2325,JavaScript,Progressive Web Apps in Java,2025-06-03T14:05:23Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/amahdy/java-pwa,False,False,False,,False
https://github.com/rh1tech/zoia_old,zoia_old,rh1tech,rh1tech/zoia_old,49,11645,JavaScript,Zoia Web Framework (Zoia.js),2025-03-11T23:29:54Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/rh1tech/zoia_old,False,False,False,,False
https://github.com/liam8888999/ErsatzTV-Filler,ErsatzTV-Filler,liam8888999,liam8888999/ErsatzTV-Filler,46,134926,JavaScript,filler for ErsatzTV channels,2025-10-24T06:44:22Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/liam8888999/ErsatzTV-Filler,False,False,False,,False
https://github.com/jacobmischka/ics-merger,ics-merger,jacobmischka,jacobmischka/ics-merger,37,14916,JavaScript,"Package, cli tool, server, and web app to merge calendars together.",2025-02-26T05:12:45Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/jacobmischka/ics-merger,False,False,False,,False
https://github.com/vasilismantz/thesis-fullstack,thesis-fullstack,vasilismantz,vasilismantz/thesis-fullstack,36,18629,JavaScript,"HR Management System built with React, Node.Js, Express, MySQL ...",2025-10-28T08:42:15Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/vasilismantz/thesis-fullstack,False,False,False,,False
https://github.com/eces/select,select,eces,eces/select,36,3219,JavaScript,🚀 Fast build tool for admin/backoffice by YAML declarative way.,2025-10-20T10:16:36Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/eces/select,False,False,False,,False
https://github.com/karllhughes/node-docker-demo,node-docker-demo,karllhughes,karllhughes/node-docker-demo,33,114,JavaScript,A simple application to demonstrate using Docker for local NodeJS app development,2025-07-02T01:42:37Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/karllhughes/node-docker-demo,False,False,False,,False
https://github.com/mjkong/mymarket,mymarket,mjkong,mjkong/mymarket,27,26892,Go,,2025-09-22T16:26:35Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/mjkong/mymarket,False,False,False,,False
https://github.com/4xmen/owasp-threat-dragon-gitlab,owasp-threat-dragon-gitlab,4xmen,4xmen/owasp-threat-dragon-gitlab,22,6197,JavaScript,,2024-01-06T07:03:24Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/4xmen/owasp-threat-dragon-gitlab,False,False,False,,False
https://github.com/ukrbublik/You-Can-Not-Recommend,You-Can-Not-Recommend,ukrbublik,ukrbublik/You-Can-Not-Recommend,19,3765,JavaScript,Recommender system engine on NodeJS,2025-11-11T16:46:08Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/ukrbublik/You-Can-Not-Recommend,False,False,False,,False
https://github.com/gpimblott/TechRadar,TechRadar,gpimblott,gpimblott/TechRadar,17,2478,JavaScript,Community technology radar and management tool,2022-02-21T19:19:29Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/gpimblott/TechRadar,False,False,False,,False
https://github.com/lifeisfoo/node-js,node-js,lifeisfoo,lifeisfoo/node-js,16,363,JavaScript,"Codice del libro ""Node.js"" di Alessandro Miliucci (Apogeo 2024)",2025-10-06T16:14:30Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/lifeisfoo/node-js,False,False,False,,False
https://github.com/ahmed-el-amine/book-store-ecommerce-mean,book-store-ecommerce-mean,ahmed-el-amine,ahmed-el-amine/book-store-ecommerce-mean,15,825,JavaScript,MEAN Stack book store project for ITI ,2025-05-29T12:04:12Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/ahmed-el-amine/book-store-ecommerce-mean,False,False,True,zod,False
https://github.com/jirengu-inc/jrg-renwu9,jrg-renwu9,jirengu-inc,jirengu-inc/jrg-renwu9,15,150417,JavaScript,,2022-09-07T05:22:13Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/jirengu-inc/jrg-renwu9,False,False,False,,False
https://github.com/ankitkumarbarik/GenAI,GenAI,ankitkumarbarik,ankitkumarbarik/GenAI,15,12625,JavaScript,GenAI 🧠 - 𝘸𝘰𝘳𝘬 𝘪𝘯 𝘱𝘳𝘰𝘨𝘳𝘦𝘴𝘴...,2025-11-05T02:00:13Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/ankitkumarbarik/GenAI,False,False,False,,False
https://github.com/hsbalar/electron-with-express,electron-with-express,hsbalar,hsbalar/electron-with-express,14,869,HTML,"Express application in electron with passport authentication, session management, nunjucks, mLab DB, Rich UI with materializecss",2025-07-21T09:25:51Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/hsbalar/electron-with-express,False,False,False,,False
https://github.com/mikelangelo-project/osv-microservice-demo,osv-microservice-demo,mikelangelo-project,mikelangelo-project/osv-microservice-demo,13,529,JavaScript,Simple Node.js Microservice application use to demonstrate the use of OSv and Capstan,2024-03-19T06:27:19Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/mikelangelo-project/osv-microservice-demo,False,False,False,,False
https://github.com/bwcho75/node.js_study,node.js_study,bwcho75,bwcho75/node.js_study,12,4837,JavaScript,,2021-08-02T09:24:13Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/bwcho75/node.js_study,False,False,False,,False
https://github.com/ddewaele/location-rest-api,location-rest-api,ddewaele,ddewaele/location-rest-api,12,124,JavaScript,A REST API implemented using NodeJS / Express. Used as a simple backend for my EmberJS CRUD sample,2025-11-09T03:59:39Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/ddewaele/location-rest-api,False,False,False,,False
https://github.com/IceWhaleTech/CasaOS-App-UI,CasaOS-App-UI,IceWhaleTech,IceWhaleTech/CasaOS-App-UI,10,6457,Vue,,2025-10-16T09:57:10Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/IceWhaleTech/CasaOS-App-UI,False,False,False,,True
https://github.com/Emilgardis/RCON-Web-Admin,RCON-Web-Admin,Emilgardis,Emilgardis/RCON-Web-Admin,10,822,JavaScript,"Self hosted, online RCON administration tool for your game server.",2025-08-01T13:40:14Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Emilgardis/RCON-Web-Admin,False,False,False,,False
https://github.com/Ammarillo/DreamSignage,DreamSignage,Ammarillo,Ammarillo/DreamSignage,8,5616,JavaScript,"A Node.js-based digital signage solution. Supports various file formats for seamless viewing on all devices. Features include fullscreen view, responsive design, offline capability, websockets integration, and cross-platform deployment. Elevate your display experience with DreamSignage.",2024-12-31T05:29:16Z,Express,"language:JavaScript ""app.get(""",https://api.github.com/repos/Ammarillo/DreamSignage,False,False,False,,False
